filenName, functionName, --bounds-check, --div-by-zero-check, --pointer-check, --memory-leak-check, --signed-overflow-check, --unsigned-overflow-check, --float-overflow-check,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes_gcm_encrypt,1,1,0,1,0,1,1,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes_gcm_decrypt,1,1,0,1,0,1,1,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes128_gcm_get_encryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes256_gcm_get_encryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes128_gcm_get_decryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes256_gcm_get_decryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_aead_cipher_aes_gcm.c,s2n_aead_cipher_aes_gcm_destroy_key,1,1,1,1,1,1,1,
./s2n/crypto/s2n_cbc_cipher_3des.c,s2n_cbc_cipher_3des_encrypt,1,1,0,1,0,0,1,
./s2n/crypto/s2n_cbc_cipher_3des.c,s2n_cbc_cipher_3des_decrypt,1,1,0,1,0,1,1,
./s2n/crypto/s2n_cbc_cipher_3des.c,s2n_cbc_cipher_3des_get_decryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_cbc_cipher_3des.c,s2n_cbc_cipher_3des_get_encryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_cbc_cipher_3des.c,s2n_cbc_cipher_3des_destroy_key,1,1,1,1,1,1,1,
./s2n/crypto/s2n_cbc_cipher_aes.c,s2n_cbc_cipher_aes_encrypt,1,1,0,1,0,0,1,
./s2n/crypto/s2n_cbc_cipher_aes.c,s2n_cbc_cipher_aes_decrypt,1,1,0,1,0,1,1,
./s2n/crypto/s2n_cbc_cipher_aes.c,s2n_cbc_cipher_aes128_get_decryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_cbc_cipher_aes.c,s2n_cbc_cipher_aes128_get_encryption_key,1,1,0,1,1,1,1,
./s2n/crypto/s2n_cbc_cipher_aes.c,s2n_cbc_cipher_aes256_get_decryption_key,1,1,0,1,1,1,1,
